Estimated.Number.of.Cells,Mean.Reads.per.Cell,Median.Genes.per.Cell,Number.of.Reads,Valid.Barcodes%,Sequencing.Saturation%,Q30.Bases.in.Barcode%,Q30.Bases.in.RNA.Read%,Q30.Bases.in.Sample.Index%,Q30.Bases.in.UMI%,Reads.Mapped.to.Genome%,Reads.Mapped.Confidently.to.Genome%,Reads.Mapped.Confidently.to.Intergenic.Regions%,Reads.Mapped.Confidently.to.Intronic.Regions%,Reads.Mapped.Confidently.to.Exonic.Regions%,Reads.Mapped.Confidently.to.Transcriptome%,Reads.Mapped.Antisense.to.Gene%,Fraction.Reads.in.Cells%,Total.Genes.Detected,Median.UMI.Counts.per.Cell
SCRN_PPMI3411_0083_da65,7426,25813,2776,191687446,96.6,15.9,94.2,92.8,88.3,94.4,96.1,89.8,3.5,27.8,58.5,51.2,2.6,88.9,45200,7455
SCRN_PPMI3419_0298_da65,5613,30208,3301,169559396,97.1,19.7,94.3,93,89.6,94.4,96.4,90.4,2.7,21.8,65.9,58.2,2.1,91,43060,10323
SCRN_PPMI3422_1260_da65,6958,27475,2851,191173183,97.3,20.5,94.6,92.9,92.6,94.7,96.8,90.8,3.2,23.2,64.4,57,2.1,89.4,45201,7928
SCRN_PPMI3448_2397_da65,6153,28048,2832,172581186,97.3,17.3,94.6,93.2,92.4,94.8,97.1,91.9,3.1,25.7,63.1,56.4,1.9,93.1,42137,8991
SCRN_PPMI3451_3236_da65,6207,25861,2781,160522033,97.3,18.7,94.7,93.3,90.7,94.8,97.1,91.2,3.2,23.2,64.8,57.4,2,94.6,41856,8882
SCRN_PPMI3459_1662_da65,5722,30942,3029,177052142,97.3,25.6,94.6,93.3,92.7,94.8,97.2,91.2,3.7,24.9,62.6,55.3,2,93.3,42287,9133
SCRN_PPMI3460_1783_da65,3051,53865,4373,164343065,97.4,28.8,94.7,93.7,92.1,94.9,97.1,91.7,3.1,29.4,59.2,52.1,2,93.7,41719,15673
SCRN_PPMI3465_3422_da65,6054,28024,3095,169657308,97.1,18.4,94.7,93.4,92.3,94.8,96.9,91.6,3,28.9,59.7,51.9,2.7,89.9,44311,8433
SCRN_PPMI3467_3278_da65,8114,21782,2470,176743482,97,14.3,94.5,93.2,91.9,94.7,96.9,91.3,2.8,22.8,65.6,58.7,2,92.2,42768,7638
SCRN_PPMI3471_8520_da65,7227,25246,2908,182454211,97.4,17.8,94.7,93.3,91,94.7,97.2,91.8,3.6,29.9,58.3,50.9,2.2,93.7,43251,7795
SCRN_PPMI3473_0119_da65,9382,18742,2524,175840537,97.5,12.8,94.6,93.5,90.5,94.7,97.3,92.3,2.9,26.8,62.5,55.5,1.8,93.8,42859,6448
SCRN_PPMI3475_1575_da65,9948,18251,2217,181565986,97.6,13.2,94.5,93.1,91,94.5,96.9,90.4,4.1,19.7,66.5,60,1.3,90.3,42502,7266
SCRN_PPMI3591_5388_da65,6369,28947,3169,184369411,97.1,19.2,94.6,93,91,94.7,96.8,90.6,2.8,23,64.9,57.1,2.2,90.8,44736,9416
SCRN_PPMI3664_2833_da65,6919,26164,2674,181030141,96.7,15.7,94.5,92.9,91.2,94.6,96.1,89.7,3.8,28.1,57.8,50.6,2.7,88.3,45386,7258
SCRN_PPMI3665_4484_da65,8909,20354,2356,181342421,97.4,18.5,94.5,93.2,92.6,94.6,96.7,90.4,3.4,21.2,65.8,58.4,2,90.8,44278,7011
SCRN_PPMI3953_6647_da65,7830,22538,2290,176475741,96.7,16.1,94.6,93.3,88.3,94.6,96.1,89.8,3.9,27.6,58.4,51.1,2.6,85.6,45354,6112
